00:33A,00:29A,00:27A,00:24A,00:22A,00:20A,00:18A,00:15A,CLOSED,00:11A,00:09A,00:07A,00:06A,00:05A
1:02A,00:58A,00:56A,00:53A,00:51A,00:49A,00:47A,00:44A,CLOSED,CLOSED,00:38A,CLOSED,00:35A,00:34A
2:02A,1:58A,1:56A,1:53A,1:51A,1:49A,1:47A,1:44A,CLOSED,CLOSED,1:38A,CLOSED,1:35A,1:34A
3:02A,2:58A,2:56A,2:53A,2:51A,2:49A,2:47A,2:44A,CLOSED,CLOSED,2:38A,CLOSED,2:35A,2:34A
4:02A,3:58A,3:56A,3:53A,3:51A,3:49A,3:47A,3:44A,CLOSED,CLOSED,3:38A,CLOSED,3:35A,3:34A
5:02A,4:58A,4:56A,4:53A,4:51A,4:49A,4:47A,4:44A,CLOSED,4:40A,4:38A,4:36A,4:35A,4:34A
6:03A,5:59A,5:57A,5:54A,5:52A,5:50A,5:48A,5:45A,5:44A,5:41A,5:39A,5:37A,5:36A,5:35A
6:33A,6:29A,6:27A,6:24A,6:22A,6:20A,6:18A,6:15A,6:14A,6:11A,6:09A,6:07A,6:06A,6:05A
7:03A,6:59A,6:57A,6:54A,6:52A,6:50A,6:48A,6:45A,6:44A,6:41A,6:39A,6:37A,6:36A,6:35A
7:33A,7:29A,7:27A,7:24A,7:22A,7:20A,7:18A,7:15A,7:14A,7:11A,7:09A,7:07A,7:06A,7:05A
8:03A,7:59A,7:57A,7:54A,7:52A,7:50A,7:48A,7:45A,7:44A,7:41A,7:39A,7:37A,7:36A,7:35A
8:33A,8:29A,8:27A,8:24A,8:22A,8:20A,8:18A,8:15A,8:14A,8:11A,8:09A,8:07A,8:06A,8:05A
9:03A,8:59A,8:57A,8:54A,8:52A,8:50A,8:48A,8:45A,8:44A,8:41A,8:39A,8:37A,8:36A,8:35A
9:33A,9:29A,9:27A,9:24A,9:22A,9:20A,9:18A,9:15A,9:14A,9:11A,9:09A,9:07A,9:06A,9:05A
10:03A,9:59A,9:57A,9:54A,9:52A,9:50A,9:48A,9:45A,9:44A,9:41A,9:39A,9:37A,9:36A,9:35A
10:33A,10:29A,10:27A,10:24A,10:22A,10:20A,10:18A,10:15A,10:14A,10:11A,10:09A,10:07A,10:06A,10:05A
11:03A,10:59A,10:57A,10:54A,10:52A,10:50A,10:48A,10:45A,10:44A,10:41A,10:39A,10:37A,10:36A,10:35A
11:33A,11:29A,11:27A,11:24A,11:22A,11:20A,11:18A,11:15A,11:14A,11:11A,11:09A,11:07A,11:06A,11:05A
12:03P,11:59A,11:57A,11:54A,11:52A,11:50A,11:48A,11:45A,11:44A,11:41A,11:39A,11:37A,11:36A,11:35A
12:33P,12:29P,12:27P,12:24P,12:22P,12:20P,12:18P,12:15P,12:14P,12:11P,12:09P,12:07P,12:06P,12:05P
1:03P,12:59P,12:57P,12:54P,12:52P,12:50P,12:48P,12:45P,12:44P,12:41P,12:39P,12:37P,12:36P,12:35P
1:33P,1:29P,1:27P,1:24P,1:22P,1:20P,1:18P,1:15P,1:14P,1:11P,1:09P,1:07P,1:06P,1:05P
2:03P,1:59P,1:57P,1:54P,1:52P,1:50P,1:48P,1:45P,1:44P,1:41P,1:39P,1:37P,1:36P,1:35P
2:33P,2:29P,2:27P,2:24P,2:22P,2:20P,2:18P,2:15P,2:14P,2:11P,2:09P,2:07P,2:06P,2:05P
3:03P,2:59P,2:57P,2:54P,2:52P,2:50P,2:48P,2:45P,2:44P,2:41P,2:39P,2:37P,2:36P,2:35P
3:33P,3:29P,3:27P,3:24P,3:22P,3:20P,3:18P,3:15P,3:14P,3:11P,3:09P,3:07P,3:06P,3:05P
4:03P,3:59P,3:57P,3:54P,3:52P,3:50P,3:48P,3:45P,3:44P,3:41P,3:39P,3:37P,3:36P,3:35P
4:33P,4:29P,4:27P,4:24P,4:22P,4:20P,4:18P,4:15P,4:14P,4:11P,4:09P,4:07P,4:06P,4:05P
5:03P,4:59P,4:57P,4:54P,4:52P,4:50P,4:48P,4:45P,4:44P,4:41P,4:39P,4:37P,4:36P,4:35P
5:33P,5:29P,5:27P,5:24P,5:22P,5:20P,5:18P,5:15P,5:14P,5:11P,5:09P,5:07P,5:06P,5:05P
6:03P,5:59P,5:57P,5:54P,5:52P,5:50P,5:48P,5:45P,5:44P,5:41P,5:39P,5:37P,5:36P,5:35P
6:33P,6:29P,6:27P,6:24P,6:22P,6:20P,6:18P,6:15P,6:14P,6:11P,6:09P,6:07P,6:06P,6:05P
7:03P,6:59P,6:57P,6:54P,6:52P,6:50P,6:48P,6:45P,6:44P,6:41P,6:39P,6:37P,6:36P,6:35P
7:33P,7:29P,7:27P,7:24P,7:22P,7:20P,7:18P,7:15P,7:14P,7:11P,7:09P,7:07P,7:06P,7:05P
8:03P,7:59P,7:57P,7:54P,7:52P,7:50P,7:48P,7:45P,7:44P,7:41P,7:39P,7:37P,7:36P,7:35P
8:33P,8:29P,8:27P,8:24P,8:22P,8:20P,8:18P,8:15P,8:14P,8:11P,8:09P,8:07P,8:06P,8:05P
9:03P,8:59P,8:57P,8:54P,8:52P,8:50P,8:48P,8:45P,8:44P,8:41P,8:39P,8:37P,8:36P,8:35P
