00:33A,00:29A,00:27A,00:24A,00:22A,00:20A,00:18A,00:15A,CLOSED,00:11A,00:09A,00:07A,00:06A,00:05A
1:05A,1:01A,12:59A,12:56A,12:54A,12:52A,12:50A,12:47A,CLOSED,CLOSED,12:41A,CLOSED,12:38A,12:37A
2:02A,1:58A,1:56A,1:53A,1:51A,1:49A,1:47A,1:44A,CLOSED,CLOSED,1:38A,CLOSED,1:35A,1:34A
3:02A,2:58A,2:56A,2:53A,2:51A,2:49A,2:47A,2:44A,CLOSED,CLOSED,2:38A,CLOSED,2:35A,2:34A
4:02A,3:58A,3:56A,3:53A,3:51A,3:49A,3:47A,3:44A,CLOSED,CLOSED,3:38A,CLOSED,3:35A,3:34A
5:02A,4:58A,4:56A,4:53A,4:51A,4:49A,4:47A,4:44A,CLOSED,4:40A,4:38A,4:36A,4:35A,4:34A
6:03A,5:59A,5:57A,5:54A,5:52A,5:50A,5:48A,5:45A,5:44A,5:41A,5:39A,5:37A,5:36A,5:35A
6:33A,6:29A,6:27A,6:24A,6:22A,6:20A,6:18A,6:15A,6:14A,6:11A,6:09A,6:07A,6:06A,6:05A
7:03A,6:59A,6:57A,6:54A,6:52A,6:50A,6:48A,6:45A,6:44A,6:41A,6:39A,6:37A,6:36A,6:35A
7:33A,7:29A,7:27A,7:24A,7:22A,7:20A,7:18A,7:15A,7:14A,7:11A,7:09A,7:07A,7:06A,7:05A
7:53A,7:49A,7:47A,7:44A,7:42A,7:40A,7:38A,7:35A,7:34A,7:31A,7:29A,7:27A,7:26A,7:25A
8:13A,8:09A,8:07A,8:04A,8:02A,8:00A,7:58A,7:55A,7:54A,7:51A,7:49A,7:47A,7:46A,7:45A
8:33A,8:29A,8:27A,8:24A,8:22A,8:20A,8:18A,8:15A,8:14A,8:11A,8:09A,8:07A,8:06A,8:05A
8:53A,8:49A,8:47A,8:44A,8:42A,8:40A,8:38A,8:35A,8:34A,8:31A,8:29A,8:27A,8:26A,8:25A
9:13A,9:09A,9:07A,9:04A,9:02A,9:00A,8:58A,8:55A,8:54A,8:51A,8:49A,8:47A,8:46A,8:45A
9:33A,9:29A,9:27A,9:24A,9:22A,9:20A,9:18A,9:15A,9:14A,9:11A,9:09A,9:07A,9:06A,9:05A
9:53A,9:49A,9:47A,9:44A,9:42A,9:40A,9:38A,9:35A,9:34A,9:31A,9:29A,9:27A,9:26A,9:25A
